# tau [ps];  C6H11N2 [ps*S/m];  C6H11N2-var [ps^2*S^2/m^2];  C2N3 [ps*S/m];  C2N3-var [ps^2*S^2/m^2];  C6H11N2/C6H11N2 [ps*S/m];  C6H11N2/C6H11N2-var [ps^2*S^2/m^2];  C2N3/C2N3 [ps*S/m];  C2N3/C2N3-var [ps^2*S^2/m^2];  C6H11N2/C2N3 [ps*S/m];  C6H11N2/C2N3-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000
0.600000;  19.299766;  0.000023;  25.340119;  0.000039;  -16.457157;  0.000344;  -17.286046;  0.002638;  9.569657;  0.003698;  20.466339;  0.016915
1.200000;  29.899205;  0.000089;  37.049799;  0.000126;  -26.054428;  0.000670;  -26.156245;  0.004837;  12.943459;  0.006681;  27.681790;  0.030560
1.800000;  37.267781;  0.000186;  45.387971;  0.000239;  -32.603413;  0.001050;  -32.172238;  0.007273;  15.702617;  0.010000;  33.582718;  0.045739
2.400000;  43.299641;  0.000300;  52.214255;  0.000377;  -37.943797;  0.001395;  -37.039336;  0.009354;  18.030474;  0.012813;  38.561237;  0.058606
3.000000;  48.526265;  0.000418;  58.151017;  0.000521;  -42.517115;  0.001807;  -41.125064;  0.011856;  20.229829;  0.016156;  43.264932;  0.073897
3.600000;  53.200879;  0.000542;  63.482687;  0.000672;  -46.559511;  0.002272;  -44.665444;  0.014818;  22.358197;  0.020131;  47.816808;  0.092078
4.200000;  57.421486;  0.000662;  68.324396;  0.000821;  -50.190100;  0.002695;  -47.835432;  0.017463;  24.344495;  0.023736;  52.064844;  0.108566
4.800000;  61.312803;  0.000779;  72.797478;  0.000969;  -53.539189;  0.003116;  -50.772198;  0.020112;  26.169909;  0.027365;  55.968804;  0.125164
5.400000;  64.992996;  0.000885;  77.037115;  0.001099;  -56.677509;  0.003568;  -53.476527;  0.023044;  27.994126;  0.031399;  59.870201;  0.143615
6.000000;  68.526678;  0.000983;  81.116784;  0.001229;  -59.696706;  0.004014;  -56.098486;  0.025921;  29.726142;  0.035305;  63.574412;  0.161481
6.600000;  71.933826;  0.001081;  85.042525;  0.001364;  -62.588329;  0.004501;  -58.563568;  0.029265;  31.461661;  0.039990;  67.286114;  0.182911
7.200000;  75.245788;  0.001186;  88.860396;  0.001504;  -65.377430;  0.004997;  -60.899998;  0.032856;  33.221874;  0.045071;  71.050630;  0.206149
7.800000;  78.488941;  0.001295;  92.606258;  0.001652;  -68.100547;  0.005532;  -63.172423;  0.036504;  34.972576;  0.050220;  74.794804;  0.229700
8.400000;  81.692275;  0.001419;  96.291585;  0.001807;  -70.825564;  0.006051;  -65.502515;  0.039954;  36.582835;  0.055026;  78.238616;  0.251684
9.000000;  84.834148;  0.001547;  99.912635;  0.001976;  -73.459625;  0.006634;  -67.684765;  0.044069;  38.292382;  0.060827;  81.894775;  0.278219
9.600000;  87.917455;  0.001680;  103.478367;  0.002158;  -76.028654;  0.007215;  -69.793372;  0.048213;  40.023703;  0.066516;  85.597500;  0.304240
10.200000;  90.966049;  0.001822;  106.994052;  0.002342;  -78.583248;  0.007802;  -71.909386;  0.051748;  41.686758;  0.071399;  89.154226;  0.326573
10.800000;  93.976338;  0.001960;  110.466379;  0.002529;  -81.103306;  0.008404;  -73.992726;  0.055495;  43.337119;  0.076564;  92.683804;  0.350196
11.400000;  96.944574;  0.002092;  113.878251;  0.002704;  -83.605305;  0.009051;  -76.083589;  0.059758;  44.906711;  0.082408;  96.040642;  0.376927
12.000000;  99.889518;  0.002215;  117.259784;  0.002878;  -86.083426;  0.009655;  -78.142453;  0.064107;  46.478274;  0.088403;  99.401698;  0.404346
12.600000;  102.797911;  0.002340;  120.602410;  0.003043;  -88.522437;  0.010190;  -80.155163;  0.067660;  48.058448;  0.093267;  102.781169;  0.426595
